Date,IP Address,Page Accessed,Access Time,Time Spent (seconds)
2024-06-01,192.168.1.1,Contact,2024-06-01 05:54:03,225
2024-06-01,192.168.1.2,Contact,2024-06-01 23:58:13,272
2024-06-01,192.168.1.5,Home,2024-06-01 10:58:32,223
2024-06-01,192.168.1.1,About Us,2024-06-01 22:54:17,102
2024-06-01,192.168.1.2,Blog,2024-06-01 18:48:19,273
2024-06-01,192.168.1.1,Services,2024-06-01 06:51:15,207
2024-06-01,192.168.1.4,Contact,2024-06-01 19:05:55,295
2024-06-01,192.168.1.2,Home,2024-06-01 13:51:06,274
2024-06-01,192.168.1.4,Contact,2024-06-01 12:11:30,213
2024-06-01,192.168.1.5,Services,2024-06-01 16:28:20,83
2024-06-01,192.168.1.1,Blog,2024-06-01 17:08:33,135
2024-06-01,192.168.1.3,Services,2024-06-01 05:45:37,87
2024-06-01,192.168.1.4,Contact,2024-06-01 23:55:07,129
2024-06-01,192.168.1.5,About Us,2024-06-01 04:31:38,114
2024-06-01,192.168.1.4,Blog,2024-06-01 23:03:11,157
2024-06-01,192.168.1.5,Contact,2024-06-01 01:56:52,210
2024-06-01,192.168.1.1,Blog,2024-06-01 12:17:39,237
2024-06-01,192.168.1.1,About Us,2024-06-01 22:14:01,193
2024-06-01,192.168.1.1,Home,2024-06-01 15:19:13,208
2024-06-01,192.168.1.5,Services,2024-06-01 22:42:37,128
2024-06-01,192.168.1.3,Home,2024-06-01 21:02:31,231
2024-06-01,192.168.1.1,Services,2024-06-01 00:40:18,73
2024-06-01,192.168.1.3,Contact,2024-06-01 17:06:10,128
2024-06-01,192.168.1.4,Contact,2024-06-01 03:57:34,257
2024-06-01,192.168.1.5,About Us,2024-06-01 06:28:30,71
2024-06-01,192.168.1.3,About Us,2024-06-01 15:39:16,296
2024-06-01,192.168.1.4,Home,2024-06-01 21:55:28,62
2024-06-01,192.168.1.1,Contact,2024-06-01 21:58:48,155
2024-06-01,192.168.1.3,Contact,2024-06-01 02:18:06,256
2024-06-01,192.168.1.4,Home,2024-06-01 05:12:08,49
2024-06-01,192.168.1.1,Services,2024-06-01 20:02:10,278
